attribute,value,reactorName
Design Net Capacity,700 MWe,ROBINSON-2
Total GWh,260290.62,ROBINSON-2
Reactor Type,Pressurised Water Reactor (or PWR),HADDAM%20NECK
Model,-,HADDAM%20NECK
Owner,Connecticut Yankee Atomic Power Co.,HADDAM%20NECK
Operator,Connecticut Yankee Atomic Power Co.,HADDAM%20NECK
Construction Start,"Friday, 1 May 1964",HADDAM%20NECK
First Criticality,"Monday, 24 July 1967",HADDAM%20NECK
First Grid Connection,"Monday, 7 August 1967",HADDAM%20NECK
Commercial Operation,"Monday, 1 January 1968",HADDAM%20NECK
Permanent Shutdown,"Thursday, 5 December 1996",HADDAM%20NECK
Capacity Net,560 MWe,HADDAM%20NECK
Capacity Gross,603 MWe,HADDAM%20NECK
Thermal Capacity,1825 MWt,HADDAM%20NECK
Design Net Capacity,582 MWe,HADDAM%20NECK
Total GWh,98087,HADDAM%20NECK
Reactor Type,Boiling Water Reactor (or BWR),HATCH-1
Model,BWR-4 (Mark 1),HATCH-1
Owner,Georgia Power Co.,HATCH-1
Operator,"Southern Nuclear Operating Company, Inc.",HATCH-1
Construction Start,"Monday, 30 September 1968",HATCH-1
First Criticality,"Thursday, 12 September 1974",HATCH-1
First Grid Connection,"Monday, 11 November 1974",HATCH-1
Commercial Operation,"Wednesday, 31 December 1975",HATCH-1
Capacity Net,876 MWe,HATCH-1
Capacity Gross,911 MWe,HATCH-1
Thermal Capacity,2804 MWt,HATCH-1
Design Net Capacity,777 MWe,HATCH-1
Total GWh,285666.82,HATCH-1
Reactor Type,Boiling Water Reactor (or BWR),HATCH-2
Model,BWR-4 (Mark 1),HATCH-2
Owner,Georgia Power Co.,HATCH-2
Operator,"Southern Nuclear Operating Company, Inc.",HATCH-2
Construction Start,"Tuesday, 1 February 1972",HATCH-2
First Criticality,"Tuesday, 4 July 1978",HATCH-2
First Grid Connection,"Friday, 22 September 1978",HATCH-2
Commercial Operation,"Wednesday, 5 September 1979",HATCH-2
Capacity Net,883 MWe,HATCH-2
Capacity Gross,921 MWe,HATCH-2
Thermal Capacity,2804 MWt,HATCH-2
Design Net Capacity,784 MWe,HATCH-2
Total GWh,270475.41,HATCH-2
Reactor Type,Boiling Water Reactor (or BWR),HOPE%20CREEK-1
Model,BWR-4 (Mark 1),HOPE%20CREEK-1
Owner,PSEG Power Inc,HOPE%20CREEK-1
Operator,PSEG Nuclear LLC,HOPE%20CREEK-1
Construction Start,"Monday, 1 March 1976",HOPE%20CREEK-1
First Criticality,"Saturday, 28 June 1986",HOPE%20CREEK-1
First Grid Connection,"Friday, 1 August 1986",HOPE%20CREEK-1
Commercial Operation,"Saturday, 20 December 1986",HOPE%20CREEK-1
Capacity Net,1172 MWe,HOPE%20CREEK-1
Capacity Gross,1240 MWe,HOPE%20CREEK-1
Thermal Capacity,3840 MWt,HOPE%20CREEK-1
Design Net Capacity,1067 MWe,HOPE%20CREEK-1
Total GWh,313148.71,HOPE%20CREEK-1
Reactor Type,Boiling Water Reactor (or BWR),HUMBOLDT%20BAY
Model,Natural cir.,HUMBOLDT%20BAY
Owner,Pacific Gas And Electric Company,HUMBOLDT%20BAY
Operator,Pacific Gas And Electric Company,HUMBOLDT%20BAY
Construction Start,"Tuesday, 1 November 1960",HUMBOLDT%20BAY
First Criticality,"Saturday, 16 February 1963",HUMBOLDT%20BAY
First Grid Connection,"Thursday, 18 April 1963",HUMBOLDT%20BAY
Commercial Operation,"Thursday, 1 August 1963",HUMBOLDT%20BAY
Permanent Shutdown,"Friday, 2 July 1976",HUMBOLDT%20BAY
Capacity Net,63 MWe,HUMBOLDT%20BAY
Capacity Gross,65 MWe,HUMBOLDT%20BAY
Thermal Capacity,220 MWt,HUMBOLDT%20BAY
Design Net Capacity,65 MWe,HUMBOLDT%20BAY
Total GWh,2095.2,HUMBOLDT%20BAY
Reactor Type,Pressurised Water Reactor (or PWR),INDIAN%20POINT-1
Model,PWR,INDIAN%20POINT-1
Owner,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-1
Operator,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-1
Construction Start,"Tuesday, 1 May 1956",INDIAN%20POINT-1
First Criticality,"Thursday, 2 August 1962",INDIAN%20POINT-1
First Grid Connection,"Sunday, 16 September 1962",INDIAN%20POINT-1
Commercial Operation,"Monday, 1 October 1962",INDIAN%20POINT-1
Permanent Shutdown,"Thursday, 31 October 1974",INDIAN%20POINT-1
Capacity Net,257 MWe,INDIAN%20POINT-1
Capacity Gross,277 MWe,INDIAN%20POINT-1
Thermal Capacity,615 MWt,INDIAN%20POINT-1
Design Net Capacity,265 MWe,INDIAN%20POINT-1
Total GWh,3828.7,INDIAN%20POINT-1
Reactor Type,Pressurised Water Reactor (or PWR),INDIAN%20POINT-2
Model,W (4-loop) DRYAMB,INDIAN%20POINT-2
Owner,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-2
Operator,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-2
Construction Start,"Friday, 14 October 1966",INDIAN%20POINT-2
First Criticality,"Tuesday, 22 May 1973",INDIAN%20POINT-2
First Grid Connection,"Tuesday, 26 June 1973",INDIAN%20POINT-2
Commercial Operation,"Thursday, 1 August 1974",INDIAN%20POINT-2
Permanent Shutdown,"Thursday, 30 April 2020",INDIAN%20POINT-2
Capacity Net,998 MWe,INDIAN%20POINT-2
Capacity Gross,1067 MWe,INDIAN%20POINT-2
Thermal Capacity,3216 MWt,INDIAN%20POINT-2
Design Net Capacity,873 MWe,INDIAN%20POINT-2
Total GWh,286391.21,INDIAN%20POINT-2
Reactor Type,Pressurised Water Reactor (or PWR),INDIAN%20POINT-3
Model,W (4-loop) DRYAMB,INDIAN%20POINT-3
Owner,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-3
Operator,"Entergy Nuclear Operations, Inc.",INDIAN%20POINT-3
Construction Start,"Wednesday, 30 October 1968",INDIAN%20POINT-3
First Criticality,"Tuesday, 6 April 1976",INDIAN%20POINT-3
First Grid Connection,"Tuesday, 27 April 1976",INDIAN%20POINT-3
Commercial Operation,"Monday, 30 August 1976",INDIAN%20POINT-3
Permanent Shutdown,"Saturday, 1 May 2021",INDIAN%20POINT-3
Capacity Net,1030 MWe,INDIAN%20POINT-3
Capacity Gross,1085 MWe,INDIAN%20POINT-3
Thermal Capacity,3216 MWt,INDIAN%20POINT-3
Design Net Capacity,965 MWe,INDIAN%20POINT-3
Total GWh,282629.61,INDIAN%20POINT-3
Reactor Type,Pressurised Water Reactor (or PWR),KEWAUNEE
Model,W (2-loop) DRYAMB,KEWAUNEE
Owner,Dominion Energy,KEWAUNEE
Operator,Dominion Energy,KEWAUNEE
Construction Start,"Tuesday, 6 August 1968",KEWAUNEE
First Criticality,"Thursday, 7 March 1974",KEWAUNEE
First Grid Connection,"Monday, 8 April 1974",KEWAUNEE
Commercial Operation,"Sunday, 16 June 1974",KEWAUNEE
Permanent Shutdown,"Tuesday, 7 May 2013",KEWAUNEE
Capacity Net,566 MWe,KEWAUNEE
Capacity Gross,595 MWe,KEWAUNEE
Thermal Capacity,1772 MWt,KEWAUNEE
Design Net Capacity,535 MWe,KEWAUNEE
Total GWh,150083.64,KEWAUNEE
Reactor Type,Boiling Water Reactor (or BWR),LACROSSE
Model,,LACROSSE
Owner,,LACROSSE
Operator,Dairyland Power Cooperative,LACROSSE
Construction Start,"Friday, 1 March 1963",LACROSSE
First Criticality,"Tuesday, 11 July 1967",LACROSSE
First Grid Connection,"Friday, 26 April 1968",LACROSSE
Commercial Operation,"Friday, 7 November 1969",LACROSSE
Permanent Shutdown,"Thursday, 30 April 1987",LACROSSE
Capacity Net,48 MWe,LACROSSE
Capacity Gross,55 MWe,LACROSSE
Thermal Capacity,165 MWt,LACROSSE
Design Net Capacity,50 MWe,LACROSSE
Total GWh,3615.7,LACROSSE
Reactor Type,Boiling Water Reactor (or BWR),LASALLE-1
Model,BWR-5 (Mark 2),LASALLE-1
Owner,Exelon Corporation,LASALLE-1
Operator,"Exelon Generation Co., Llc",LASALLE-1
Construction Start,"Monday, 10 September 1973",LASALLE-1
First Criticality,"Monday, 21 June 1982",LASALLE-1
First Grid Connection,"Saturday, 4 September 1982",LASALLE-1
Commercial Operation,"Sunday, 1 January 1984",LASALLE-1
Capacity Net,1137 MWe,LASALLE-1
Capacity Gross,1207 MWe,LASALLE-1
Thermal Capacity,3546 MWt,LASALLE-1
Design Net Capacity,1078 MWe,LASALLE-1
Total GWh,316418.2,LASALLE-1
Reactor Type,Boiling Water Reactor (or BWR),LASALLE-2
Model,BWR-5 (Mark 2),LASALLE-2
Owner,Exelon Corporation,LASALLE-2
Operator,"Exelon Generation Co., Llc",LASALLE-2
Construction Start,"Monday, 10 September 1973",LASALLE-2
First Criticality,"Saturday, 10 March 1984",LASALLE-2
First Grid Connection,"Friday, 20 April 1984",LASALLE-2
Commercial Operation,"Friday, 19 October 1984",LASALLE-2
Capacity Net,1140 MWe,LASALLE-2
Capacity Gross,1207 MWe,LASALLE-2
Thermal Capacity,3546 MWt,LASALLE-2
Design Net Capacity,1078 MWe,LASALLE-2
Total GWh,308445.93,LASALLE-2
Reactor Type,Boiling Water Reactor (or BWR),LIMERICK-1
Model,BWR-4 (Mark 2),LIMERICK-1
Owner,Exelon Corporation,LIMERICK-1
Operator,"Exelon Generation Co., Llc",LIMERICK-1
Construction Start,"Wednesday, 19 June 1974",LIMERICK-1
First Criticality,"Saturday, 22 December 1984",LIMERICK-1
First Grid Connection,"Saturday, 13 April 1985",LIMERICK-1
Commercial Operation,"Saturday, 1 February 1986",LIMERICK-1
Capacity Net,1134 MWe,LIMERICK-1
Capacity Gross,1194 MWe,LIMERICK-1
Thermal Capacity,3515 MWt,LIMERICK-1
Design Net Capacity,1055 MWe,LIMERICK-1
Total GWh,334943.95,LIMERICK-1
Reactor Type,Boiling Water Reactor (or BWR),LIMERICK-2
Model,BWR-4 (Mark 2),LIMERICK-2
Owner,Exelon Corporation,LIMERICK-2
Operator,"Exelon Generation Co., Llc",LIMERICK-2
Construction Start,"Wednesday, 19 June 1974",LIMERICK-2
First Criticality,"Saturday, 12 August 1989",LIMERICK-2
First Grid Connection,"Friday, 1 September 1989",LIMERICK-2
Commercial Operation,"Monday, 8 January 1990",LIMERICK-2
Capacity Net,1134 MWe,LIMERICK-2
Capacity Gross,1194 MWe,LIMERICK-2
Thermal Capacity,3515 MWt,LIMERICK-2
Design Net Capacity,1055 MWe,LIMERICK-2
Total GWh,311794.75,LIMERICK-2
Reactor Type,Pressurised Water Reactor (or PWR),MAINE%20YANKEE
Model,,MAINE%20YANKEE
Owner,,MAINE%20YANKEE
Operator,Maine Yankee Atomic Power Co.,MAINE%20YANKEE
Construction Start,"Tuesday, 1 October 1968",MAINE%20YANKEE
First Criticality,"Monday, 23 October 1972",MAINE%20YANKEE
First Grid Connection,"Wednesday, 8 November 1972",MAINE%20YANKEE
Commercial Operation,"Thursday, 28 December 1972",MAINE%20YANKEE
Permanent Shutdown,"Friday, 1 August 1997",MAINE%20YANKEE
Capacity Net,860 MWe,MAINE%20YANKEE
Capacity Gross,900 MWe,MAINE%20YANKEE
Thermal Capacity,2630 MWt,MAINE%20YANKEE
Design Net Capacity,825 MWe,MAINE%20YANKEE
Total GWh,118717.82,MAINE%20YANKEE
Reactor Type,Pressurised Water Reactor (or PWR),MCGUIRE-1
Model,W (4-loop) ICECND,MCGUIRE-1
Owner,Duke Energy  Corp.,MCGUIRE-1
Operator,Duke Energy  Corp.,MCGUIRE-1
Construction Start,"Thursday, 1 April 1971",MCGUIRE-1
First Criticality,"Saturday, 8 August 1981",MCGUIRE-1
First Grid Connection,"Saturday, 12 September 1981",MCGUIRE-1
Commercial Operation,"Tuesday, 1 December 1981",MCGUIRE-1
Capacity Net,1158 MWe,MCGUIRE-1
Capacity Gross,1215 MWe,MCGUIRE-1
Thermal Capacity,3411 MWt,MCGUIRE-1
Design Net Capacity,1180 MWe,MCGUIRE-1
Total GWh,346412.2,MCGUIRE-1
Reactor Type,Pressurised Water Reactor (or PWR),MCGUIRE-2
Model,W (4-loop) (ICECND),MCGUIRE-2
Owner,Duke Energy  Corp.,MCGUIRE-2
Operator,Duke Energy  Corp.,MCGUIRE-2
Construction Start,"Thursday, 1 April 1971",MCGUIRE-2
First Criticality,"Sunday, 8 May 1983",MCGUIRE-2
First Grid Connection,"Monday, 23 May 1983",MCGUIRE-2
Commercial Operation,"Thursday, 1 March 1984",MCGUIRE-2
Capacity Net,1158 MWe,MCGUIRE-2
Capacity Gross,1215 MWe,MCGUIRE-2
Thermal Capacity,3411 MWt,MCGUIRE-2
Design Net Capacity,1180 MWe,MCGUIRE-2
Total GWh,345019.48,MCGUIRE-2
Reactor Type,Boiling Water Reactor (or BWR),MILLSTONE-1
Model,,MILLSTONE-1
Owner,,MILLSTONE-1
Operator,Dominion Energy,MILLSTONE-1
Construction Start,"Sunday, 1 May 1966",MILLSTONE-1
First Criticality,"Monday, 26 October 1970",MILLSTONE-1
First Grid Connection,"Sunday, 29 November 1970",MILLSTONE-1
Commercial Operation,"Monday, 1 March 1971",MILLSTONE-1
Permanent Shutdown,"Wednesday, 1 July 1998",MILLSTONE-1
Capacity Net,641 MWe,MILLSTONE-1
Capacity Gross,684 MWe,MILLSTONE-1
Thermal Capacity,2011 MWt,MILLSTONE-1
Design Net Capacity,660 MWe,MILLSTONE-1
Total GWh,101371.38,MILLSTONE-1
Reactor Type,Pressurised Water Reactor (or PWR),MILLSTONE-2
Model,COMB CE DRYAMB,MILLSTONE-2
Owner,"Dominion Resources, Inc.",MILLSTONE-2
Operator,Dominion Energy,MILLSTONE-2
Construction Start,"Saturday, 1 November 1969",MILLSTONE-2
First Criticality,"Friday, 17 October 1975",MILLSTONE-2
First Grid Connection,"Sunday, 9 November 1975",MILLSTONE-2
Commercial Operation,"Friday, 26 December 1975",MILLSTONE-2
Capacity Net,869 MWe,MILLSTONE-2
Capacity Gross,918 MWe,MILLSTONE-2
Thermal Capacity,2700 MWt,MILLSTONE-2
Design Net Capacity,870 MWe,MILLSTONE-2
Total GWh,261899.77,MILLSTONE-2
Reactor Type,Pressurised Water Reactor (or PWR),MILLSTONE-3
Model,W (4-loop) DRYSUB,MILLSTONE-3
Owner,"Dominion Resources, Inc.",MILLSTONE-3
Operator,Dominion Energy,MILLSTONE-3
Construction Start,"Friday, 9 August 1974",MILLSTONE-3
First Criticality,"Thursday, 23 January 1986",MILLSTONE-3
First Grid Connection,"Wednesday, 12 February 1986",MILLSTONE-3
Commercial Operation,"Wednesday, 23 April 1986",MILLSTONE-3
Capacity Net,1210 MWe,MILLSTONE-3
Capacity Gross,1280 MWe,MILLSTONE-3
Thermal Capacity,3650 MWt,MILLSTONE-3
Design Net Capacity,1159 MWe,MILLSTONE-3
Total GWh,304954.46,MILLSTONE-3
Reactor Type,Boiling Water Reactor (or BWR),MONTICELLO
Model,BWR-3,MONTICELLO
Owner,Xcel Energy,MONTICELLO
Operator,Northern States Power Co. (Subsidiary Of Xcel Energy),MONTICELLO
Construction Start,"Monday, 19 June 1967",MONTICELLO
First Criticality,"Thursday, 10 December 1970",MONTICELLO
First Grid Connection,"Friday, 5 March 1971",MONTICELLO
Commercial Operation,"Wednesday, 30 June 1971",MONTICELLO
Capacity Net,628 MWe,MONTICELLO
Capacity Gross,691 MWe,MONTICELLO
Thermal Capacity,2004 MWt,MONTICELLO
Design Net Capacity,545 MWe,MONTICELLO
Total GWh,216256.96,MONTICELLO
Reactor Type,Other (or X),HALLAM
Model,LMGMR (SGR- Sodium cooled graphite moderated reactor),HALLAM
Owner,Hallam Nucler Power Facility,HALLAM
Operator,Atomic Energy Commission And Nebraska Public Power District,HALLAM
Construction Start,"Thursday, 1 January 1959",HALLAM
First Criticality,"Tuesday, 1 January 1963",HALLAM
First Grid Connection,"Sunday, 1 September 1963",HALLAM
Commercial Operation,"Friday, 1 November 1963",HALLAM
Permanent Shutdown,"Tuesday, 1 September 1964",HALLAM
Capacity Net,75 MWe,HALLAM
Capacity Gross,84 MWe,HALLAM
Thermal Capacity,256 MWt,HALLAM
Design Net Capacity,75 MWe,HALLAM
Total GWh,0,HALLAM
Reactor Type,Boiling Water Reactor (or BWR),NINE%20MILE%20POINT-1
Model,BWR-2 (Mark 1),NINE%20MILE%20POINT-1
Owner,"Exelon Nuclear, Électricité De France",NINE%20MILE%20POINT-1
Operator,"Exelon Generation Co., Llc",NINE%20MILE%20POINT-1
Construction Start,"Monday, 12 April 1965",NINE%20MILE%20POINT-1
First Criticality,"Friday, 5 September 1969",NINE%20MILE%20POINT-1
First Grid Connection,"Sunday, 9 November 1969",NINE%20MILE%20POINT-1
Commercial Operation,"Monday, 1 December 1969",NINE%20MILE%20POINT-1
Capacity Net,613 MWe,NINE%20MILE%20POINT-1
Capacity Gross,642 MWe,NINE%20MILE%20POINT-1
Thermal Capacity,1850 MWt,NINE%20MILE%20POINT-1
Design Net Capacity,620 MWe,NINE%20MILE%20POINT-1
Total GWh,216534.16,NINE%20MILE%20POINT-1
Reactor Type,Boiling Water Reactor (or BWR),NINE%20MILE%20POINT-2
Model,BWR-5 (Mark 2),NINE%20MILE%20POINT-2
Owner,"Exelon Nuclear, Électricité De France",NINE%20MILE%20POINT-2
Operator,"Exelon Generation Co., Llc",NINE%20MILE%20POINT-2
Construction Start,"Friday, 1 August 1975",NINE%20MILE%20POINT-2
First Criticality,"Saturday, 23 May 1987",NINE%20MILE%20POINT-2
First Grid Connection,"Saturday, 8 August 1987",NINE%20MILE%20POINT-2
Commercial Operation,"Friday, 11 March 1988",NINE%20MILE%20POINT-2
Capacity Net,1277 MWe,NINE%20MILE%20POINT-2
Capacity Gross,1320 MWe,NINE%20MILE%20POINT-2
Thermal Capacity,3988 MWt,NINE%20MILE%20POINT-2
Design Net Capacity,1100 MWe,NINE%20MILE%20POINT-2
Total GWh,312979.56,NINE%20MILE%20POINT-2
Reactor Type,Pressurised Water Reactor (or PWR),NORTH%20ANNA-1
Model,W (3-loop),NORTH%20ANNA-1
Owner,Virginia Electric Power Co.,NORTH%20ANNA-1
Operator,Dominion Energy,NORTH%20ANNA-1
Construction Start,"Friday, 19 February 1971",NORTH%20ANNA-1
First Criticality,"Wednesday, 5 April 1978",NORTH%20ANNA-1
First Grid Connection,"Monday, 17 April 1978",NORTH%20ANNA-1
Commercial Operation,"Tuesday, 6 June 1978",NORTH%20ANNA-1
Capacity Net,948 MWe,NORTH%20ANNA-1
Capacity Gross,990 MWe,NORTH%20ANNA-1
Thermal Capacity,2940 MWt,NORTH%20ANNA-1
Design Net Capacity,907 MWe,NORTH%20ANNA-1
Total GWh,305706.97,NORTH%20ANNA-1
Reactor Type,Pressurised Water Reactor (or PWR),NORTH%20ANNA-2
Model,W (3-loop),NORTH%20ANNA-2
Owner,Virginia Electric Power Co.,NORTH%20ANNA-2
Operator,Dominion Energy,NORTH%20ANNA-2
Construction Start,"Friday, 19 February 1971",NORTH%20ANNA-2
First Criticality,"Thursday, 12 June 1980",NORTH%20ANNA-2
First Grid Connection,"Monday, 25 August 1980",NORTH%20ANNA-2
Commercial Operation,"Sunday, 14 December 1980",NORTH%20ANNA-2
Capacity Net,944 MWe,NORTH%20ANNA-2
Capacity Gross,1011 MWe,NORTH%20ANNA-2
Thermal Capacity,2940 MWt,NORTH%20ANNA-2
Design Net Capacity,907 MWe,NORTH%20ANNA-2
Total GWh,297450.75,NORTH%20ANNA-2
Reactor Type,Pressurised Water Reactor (or PWR),OCONEE-1
Model,B&W; (L-loop),OCONEE-1
Owner,Duke Energy  Corp.,OCONEE-1
Operator,Duke Energy  Corp.,OCONEE-1
Construction Start,"Monday, 6 November 1967",OCONEE-1
First Criticality,"Thursday, 19 April 1973",OCONEE-1
First Grid Connection,"Sunday, 6 May 1973",OCONEE-1
Commercial Operation,"Sunday, 15 July 1973",OCONEE-1
Capacity Net,847 MWe,OCONEE-1
Capacity Gross,891 MWe,OCONEE-1
Thermal Capacity,2568 MWt,OCONEE-1
Design Net Capacity,887 MWe,OCONEE-1
Total GWh,306741.37,OCONEE-1
Reactor Type,Pressurised Water Reactor (or PWR),OCONEE-2
Model,B&W; (L-loop),OCONEE-2
Owner,Duke Energy  Corp.,OCONEE-2
Operator,Duke Energy  Corp.,OCONEE-2
Construction Start,"Monday, 6 November 1967",OCONEE-2
First Criticality,"Sunday, 11 November 1973",OCONEE-2
First Grid Connection,"Wednesday, 5 December 1973",OCONEE-2
Commercial Operation,"Monday, 9 September 1974",OCONEE-2
Capacity Net,848 MWe,OCONEE-2
Capacity Gross,891 MWe,OCONEE-2
Thermal Capacity,2568 MWt,OCONEE-2
Design Net Capacity,887 MWe,OCONEE-2
Total GWh,309297.93,OCONEE-2
Reactor Type,Pressurised Water Reactor (or PWR),OCONEE-3
Model,B&W; (L-loop),OCONEE-3
Owner,Duke Energy  Corp.,OCONEE-3
Operator,Duke Energy  Corp.,OCONEE-3
Construction Start,"Monday, 6 November 1967",OCONEE-3
First Criticality,"Thursday, 5 September 1974",OCONEE-3
First Grid Connection,"Wednesday, 18 September 1974",OCONEE-3
Commercial Operation,"Monday, 16 December 1974",OCONEE-3
Capacity Net,859 MWe,OCONEE-3
Capacity Gross,900 MWe,OCONEE-3
Thermal Capacity,2568 MWt,OCONEE-3
Design Net Capacity,887 MWe,OCONEE-3
Total GWh,307209.85,OCONEE-3
Reactor Type,Boiling Water Reactor (or BWR),OYSTER%20CREEK
Model,BWR-2 (Mark 1),OYSTER%20CREEK
Owner,Exelon Corporation,OYSTER%20CREEK
Operator,"Exelon Generation Co., Llc",OYSTER%20CREEK
Construction Start,"Tuesday, 15 December 1964",OYSTER%20CREEK
First Criticality,"Saturday, 3 May 1969",OYSTER%20CREEK
First Grid Connection,"Tuesday, 23 September 1969",OYSTER%20CREEK
Commercial Operation,"Monday, 1 December 1969",OYSTER%20CREEK
Permanent Shutdown,"Monday, 17 September 2018",OYSTER%20CREEK
Capacity Net,619 MWe,OYSTER%20CREEK
Capacity Gross,652 MWe,OYSTER%20CREEK
Thermal Capacity,1930 MWt,OYSTER%20CREEK
Design Net Capacity,650 MWe,OYSTER%20CREEK
Total GWh,195869.01,OYSTER%20CREEK
Reactor Type,Pressurised Water Reactor (or PWR),PALISADES
Model,CE (2-loop) DRYAMB,PALISADES
Owner,"Entergy Nuclear Operations, Inc.",PALISADES
Operator,"Entergy Nuclear Operations, Inc.",PALISADES
Construction Start,"Sunday, 12 March 1967",PALISADES
First Criticality,"Monday, 24 May 1971",PALISADES
First Grid Connection,"Friday, 31 December 1971",PALISADES
Commercial Operation,"Friday, 31 December 1971",PALISADES
Permanent Shutdown,"Friday, 20 May 2022",PALISADES
Capacity Net,805 MWe,PALISADES
Capacity Gross,850 MWe,PALISADES
Thermal Capacity,2565 MWt,PALISADES
Design Net Capacity,805 MWe,PALISADES
Total GWh,232296.79,PALISADES
Reactor Type,Pressurised Water Reactor (or PWR),PALO%20VERDE-1
Model,CE (2-loop) DRYAMB,PALO%20VERDE-1
Owner,Arizona Public Service Co.,PALO%20VERDE-1
Operator,Arizona Public Service Co.,PALO%20VERDE-1
Construction Start,"Tuesday, 25 May 1976",PALO%20VERDE-1
First Criticality,"Saturday, 25 May 1985",PALO%20VERDE-1
First Grid Connection,"Monday, 10 June 1985",PALO%20VERDE-1
Commercial Operation,"Tuesday, 28 January 1986",PALO%20VERDE-1
Capacity Net,1311 MWe,PALO%20VERDE-1
Capacity Gross,1414 MWe,PALO%20VERDE-1
Thermal Capacity,3990 MWt,PALO%20VERDE-1
Design Net Capacity,1221 MWe,PALO%20VERDE-1
Total GWh,346148.03,PALO%20VERDE-1
Reactor Type,Pressurised Water Reactor (or PWR),PALO%20VERDE-2
Model,COMB CE80 DRYAMB,PALO%20VERDE-2
Owner,Arizona Public Service Co.,PALO%20VERDE-2
Operator,Arizona Public Service Co.,PALO%20VERDE-2
Construction Start,"Tuesday, 1 June 1976",PALO%20VERDE-2
First Criticality,"Friday, 18 April 1986",PALO%20VERDE-2
First Grid Connection,"Tuesday, 20 May 1986",PALO%20VERDE-2
Commercial Operation,"Friday, 19 September 1986",PALO%20VERDE-2
Capacity Net,1314 MWe,PALO%20VERDE-2
Capacity Gross,1414 MWe,PALO%20VERDE-2
Thermal Capacity,3990 MWt,PALO%20VERDE-2
Design Net Capacity,1304 MWe,PALO%20VERDE-2
Total GWh,350621.19,PALO%20VERDE-2
Reactor Type,Pressurised Water Reactor (or PWR),PALO%20VERDE-3
Model,COMB CE80 DRYAMB,PALO%20VERDE-3
Owner,Arizona Public Service Co.,PALO%20VERDE-3
Operator,Arizona Public Service Co.,PALO%20VERDE-3
Construction Start,"Tuesday, 1 June 1976",PALO%20VERDE-3
First Criticality,"Sunday, 25 October 1987",PALO%20VERDE-3
First Grid Connection,"Saturday, 28 November 1987",PALO%20VERDE-3
Commercial Operation,"Friday, 8 January 1988",PALO%20VERDE-3
Capacity Net,1312 MWe,PALO%20VERDE-3
Capacity Gross,1414 MWe,PALO%20VERDE-3
Thermal Capacity,3990 MWt,PALO%20VERDE-3
Design Net Capacity,1304 MWe,PALO%20VERDE-3
Total GWh,345765.48,PALO%20VERDE-3
Reactor Type,Boiling Water Reactor (or BWR),PATHFINDER
Model,Prototype,PATHFINDER
Owner,Xcel Energy,PATHFINDER
Operator,Nuclear Management Co.,PATHFINDER
Construction Start,"Thursday, 1 January 1959",PATHFINDER
First Criticality,"Wednesday, 1 January 1964",PATHFINDER
First Grid Connection,"Monday, 25 July 1966",PATHFINDER
Commercial Operation,"Monday, 1 August 1966",PATHFINDER
Permanent Shutdown,"Sunday, 1 October 1967",PATHFINDER
Capacity Net,59 MWe,PATHFINDER
Capacity Gross,63 MWe,PATHFINDER
Thermal Capacity,220 MWt,PATHFINDER
Design Net Capacity,59 MWe,PATHFINDER
Total GWh,0,PATHFINDER
Reactor Type,High Temperature Gas-Cooled Reactor (or HTGR),PEACH%20BOTTOM-1
Model,,PEACH%20BOTTOM-1
Owner,"Exelon Generation Co., Llc",PEACH%20BOTTOM-1
Operator,"Exelon Generation Co., Llc",PEACH%20BOTTOM-1
Construction Start,"Thursday, 1 February 1962",PEACH%20BOTTOM-1
First Criticality,"Thursday, 3 March 1966",PEACH%20BOTTOM-1
First Grid Connection,"Friday, 27 January 1967",PEACH%20BOTTOM-1
Commercial Operation,"Thursday, 1 June 1967",PEACH%20BOTTOM-1
Permanent Shutdown,"Friday, 1 November 1974",PEACH%20BOTTOM-1
Capacity Net,40 MWe,PEACH%20BOTTOM-1
Capacity Gross,42 MWe,PEACH%20BOTTOM-1
Thermal Capacity,115 MWt,PEACH%20BOTTOM-1
Design Net Capacity,40 MWe,PEACH%20BOTTOM-1
Total GWh,350.3,PEACH%20BOTTOM-1
Reactor Type,Boiling Water Reactor (or BWR),PEACH%20BOTTOM-2
Model,BWR-4 (Mark 1),PEACH%20BOTTOM-2
Owner,"Exelon Corp. (50%), PSEG Power (50%)",PEACH%20BOTTOM-2
Operator,"Exelon Generation Co., Llc",PEACH%20BOTTOM-2
Construction Start,"Wednesday, 31 January 1968",PEACH%20BOTTOM-2
First Criticality,"Sunday, 16 September 1973",PEACH%20BOTTOM-2
First Grid Connection,"Monday, 18 February 1974",PEACH%20BOTTOM-2
Commercial Operation,"Friday, 5 July 1974",PEACH%20BOTTOM-2
Capacity Net,1300 MWe,PEACH%20BOTTOM-2
Capacity Gross,1412 MWe,PEACH%20BOTTOM-2
Thermal Capacity,3951 MWt,PEACH%20BOTTOM-2
Design Net Capacity,1065 MWe,PEACH%20BOTTOM-2
Total GWh,386044.99,PEACH%20BOTTOM-2
Reactor Type,Boiling Water Reactor (or BWR),PEACH%20BOTTOM-3
